table,issue_type,rows_affected
customers,missing_email,760
customers,missing_address,380
customers,missing_income,950
customers,invalid_phone,228
customers,invalid_email,285
customers,incorrect_pin,190
customers,misspelled_city,380
customers,inconsistent_capitalisation,570
customers,impossible_age,38
customers,mixed_date_format,380
customers,duplicate_customers,76
billing,incorrect_gst,1149
billing,negative_invoice_amount,229
billing,future_dates,229
billing,duplicate_invoices,344
payments,broken_foreign_key,184
payments,duplicate_payments,276
subscriptions,null_foreign_key,41
subscriptions,invalid_category,102
usage_data,outlier_values,171
