table,duplicate_rows,duplicate_percentage
billing,344,0.3
cities,0,0.0
complaints,0,0.0
contracts,0,0.0
customer_feedback,0,0.0
customers,76,0.4
data_quality_issue_log,0,0.0
devices,0,0.0
employees,0,0.0
marketing_campaigns,0,0.0
network_quality,0,0.0
payments,276,0.3
plan_history,0,0.0
plans,0,0.0
recharges,0,0.0
regions,0,0.0
retention_campaigns,0,0.0
states,0,0.0
stores,0,0.0
subscriptions,0,0.0
support_tickets,0,0.0
usage_data,0,0.0
usage_sms,0,0.0
usage_voice,0,0.0
