table,rows,columns,duplicate_rows,total_missing_values,memory_mb
billing,115313,9,344,0,40.58
cities,68,8,0,0,0.03
complaints,16584,7,0,7348,6.33
contracts,10607,9,0,0,4.71
customer_feedback,28499,7,0,0,8.41
customers,19076,25,76,17639,21.7
data_quality_issue_log,20,3,0,0,0.0
devices,19000,8,0,0,6.52
employees,800,9,0,0,0.41
marketing_campaigns,40,9,0,0,0.01
network_quality,57000,8,0,0,14.08
payments,92362,7,276,0,31.29
plan_history,19349,6,0,0,6.32
plans,25,10,0,0,0.01
recharges,146501,6,0,0,40.83
regions,4,3,0,0,0.0
retention_campaigns,6475,8,0,0,2.88
states,36,4,0,0,0.01
stores,2180,7,0,0,0.84
subscriptions,20523,8,0,17058,7.5
support_tickets,31490,11,0,26732,16.92
usage_data,57000,5,0,0,10.22
usage_sms,57000,5,0,0,10.22
usage_voice,57000,6,0,0,10.65
